Unnamed: 0,carat,cut,color,clarity,depth,table,price,x,y,z
41639,0.32,Premium,J,VS2,61.9,59.0,504,4.38,4.35,2.7
44679,0.72,Good,F,SI2,63.8,59.0,1609,5.64,5.58,3.58
13423,0.9,Very Good,D,VS1,63.4,58.0,5511,6.15,6.09,3.88
29931,0.37,Very Good,I,VVS2,60.9,58.0,714,4.64,4.68,2.84
6523,1.1,Very Good,G,SI2,63.4,56.0,4066,6.56,6.54,4.15
5750,0.98,Very Good,E,SI2,61.1,60.0,3895,6.31,6.36,3.87
15606,1.37,Premium,G,SI2,62.4,58.0,6260,7.1,7.0,4.4
26030,0.32,Ideal,F,VS2,62.6,55.0,645,4.38,4.41,2.75
42162,0.51,Ideal,G,SI1,63.2,58.0,1284,5.05,5.08,3.2
26991,2.01,Very Good,D,SI2,61.8,59.0,17079,8.07,8.15,5.01
37345,0.31,Ideal,D,VVS2,62.0,56.0,982,4.37,4.34,2.7
22912,1.01,Ideal,E,VVS1,62.0,57.0,10954,6.39,6.45,3.98
47556,0.7,Ideal,J,VS2,62.6,57.0,1874,5.64,5.67,3.54
41665,0.51,Very Good,E,SI2,63.3,56.0,1239,5.12,5.08,3.23
18011,1.47,Ideal,I,VS2,62.3,57.0,7284,7.24,7.3,4.53
6415,1.05,Very Good,H,SI2,61.4,58.0,4042,6.54,6.58,4.03
14036,1.05,Ideal,H,SI1,60.8,56.0,5704,6.62,6.58,4.01
6921,0.91,Premium,E,SI1,60.5,61.0,4138,6.23,6.19,3.76
43092,0.41,Ideal,E,VVS2,61.1,57.0,1381,4.82,4.77,2.93
20383,0.31,Good,H,VVS2,63.6,56.0,625,4.28,4.33,2.74
27939,0.31,Very Good,J,SI2,63.3,58.0,430,4.35,4.34,2.75
18868,1.02,Very Good,E,VS1,60.5,60.0,7738,6.49,6.54,3.94
40417,0.58,Ideal,G,SI2,62.0,57.0,1134,5.35,5.29,3.3
10062,0.35,Good,F,SI2,63.8,56.0,591,4.48,4.45,2.85
5677,0.95,Ideal,I,VS2,62.2,57.0,3884,6.29,6.22,3.89
14187,1.01,Good,G,VS2,58.9,61.0,5756,6.46,6.55,3.83
50430,0.74,Very Good,F,SI2,63.1,55.0,2261,5.77,5.74,3.63
21351,1.59,Ideal,J,VS1,61.3,57.0,9494,7.5,7.55,4.61
2971,0.7,Ideal,I,VS2,61.9,57.0,3298,5.68,5.73,3.53
45463,0.55,Ideal,E,SI1,61.7,54.0,1675,5.26,5.27,3.25
33737,0.33,Ideal,D,VS1,61.0,56.0,839,4.45,4.47,2.72
12566,1.1,Ideal,H,SI1,61.6,57.0,5278,6.63,6.61,4.08
19866,1.57,Very Good,G,SI2,61.1,61.0,8419,7.43,7.46,4.55
23006,1.51,Ideal,H,SI1,62.3,53.7,11062,7.33,7.37,4.58
37446,0.51,Ideal,I,SI1,62.2,56.0,984,5.08,5.12,3.17
23008,1.52,Premium,H,VS2,61.1,59.0,11066,7.45,7.38,4.53
46529,0.51,Ideal,G,VS1,61.9,56.0,1781,5.14,5.1,3.17
26586,1.6,Ideal,H,IF,61.5,53.0,16300,7.57,7.69,4.66
10738,0.33,Premium,I,VS2,61.1,59.0,594,4.44,4.4,2.7
47851,0.77,Good,J,SI1,63.3,57.0,1909,5.79,5.84,3.68
14750,1.5,Premium,H,SI2,60.2,59.0,5937,7.43,7.35,4.45
51542,0.78,Good,G,SI1,63.9,64.0,2386,5.82,5.7,3.68
35490,0.38,Good,E,VVS1,62.4,64.0,904,4.59,4.61,2.87
43925,0.28,Ideal,H,VVS2,61.2,55.0,514,4.18,4.22,2.57
19780,1.5,Good,J,VS1,60.7,61.0,8347,7.27,7.3,4.42
12655,1.0,Premium,E,SI1,60.5,59.0,5299,6.4,6.45,3.89
48403,0.7,Very Good,J,VVS2,63.2,55.0,1968,5.63,5.57,3.54
5107,0.72,Ideal,F,VS1,61.5,56.0,3759,5.77,5.8,3.56
6423,1.04,Premium,J,VS2,58.7,58.0,4043,6.68,6.61,3.9
16090,1.01,Good,D,VS2,61.6,61.0,6429,6.43,6.45,3.97
35617,0.3,Very Good,H,VS2,62.7,59.0,473,4.22,4.27,2.66
19817,1.23,Premium,G,VS1,61.8,58.0,8381,6.88,6.84,4.24
29473,0.32,Ideal,E,VS2,62.0,57.0,702,4.37,4.41,2.72
42208,0.52,Very Good,H,VS2,62.0,57.0,1289,5.08,5.12,3.16
9385,0.32,Ideal,D,SI1,61.5,56.0,589,4.39,4.42,2.71
21394,1.51,Premium,H,SI1,62.0,58.0,9511,7.38,7.34,4.56
5239,1.02,Fair,G,SI2,65.3,58.0,3787,6.33,6.22,4.1
11019,1.0,Good,E,SI1,60.4,61.0,4916,6.37,6.44,3.87
22737,1.15,Ideal,F,VVS2,62.7,57.0,10757,6.69,6.65,4.18
20564,1.28,Premium,G,VS2,61.6,58.0,8874,7.02,6.98,4.31
13402,0.32,Very Good,G,VS1,61.2,62.0,602,4.41,4.45,2.71
24053,0.31,Ideal,I,IF,60.9,57.0,635,4.39,4.44,2.69
49993,0.58,Ideal,E,VS1,60.6,57.0,2192,5.4,5.45,3.29
24525,1.9,Premium,F,SI2,62.9,61.0,12812,7.78,7.73,4.88
35362,0.38,Premium,H,VS2,61.8,58.0,898,4.66,4.63,2.87
30091,0.32,Premium,H,VS1,60.6,60.0,720,4.44,4.4,2.68
21336,1.57,Premium,I,VS2,62.2,59.0,9478,7.44,7.42,4.62
31184,0.32,Ideal,D,SI1,62.0,55.0,756,4.47,4.37,2.74
29240,0.37,Very Good,G,VS1,58.3,62.0,696,4.72,4.75,2.76
31054,0.34,Ideal,H,VVS1,61.1,56.0,751,4.51,4.56,2.77
53023,0.74,Very Good,I,VVS2,62.8,55.0,2600,5.75,5.78,3.62
3293,0.95,Very Good,J,VS1,62.4,57.0,3365,6.25,6.29,3.91
50903,0.65,Very Good,H,VVS1,61.6,58.0,2318,5.57,5.62,3.42
18153,1.4,Premium,G,SI2,62.0,60.0,7357,7.16,7.1,4.42
46789,0.5,Good,E,VS1,58.2,61.0,1806,5.19,5.22,3.03
29061,0.4,Very Good,E,SI1,60.8,62.0,687,4.72,4.76,2.88
50418,0.71,Very Good,H,SI1,60.1,63.0,2258,5.72,5.69,3.43
18495,1.0,Very Good,E,VS1,63.2,55.0,7532,6.34,6.29,3.99
35844,0.4,Premium,G,VVS2,61.3,59.0,917,4.74,4.78,2.92
47587,0.58,Ideal,D,VS2,61.2,57.0,1876,5.37,5.41,3.3
38761,0.51,Ideal,F,SI2,62.7,57.0,1046,5.08,5.1,3.19
43347,0.51,Ideal,F,SI1,60.0,57.0,1406,5.25,5.21,3.14
17657,1.2,Very Good,F,VS2,62.4,58.0,7114,6.76,6.8,4.23
13136,1.26,Premium,H,SI2,60.9,57.0,5434,7.03,6.96,4.26
9531,1.01,Ideal,J,VS2,61.1,56.0,4617,6.49,6.51,3.97
20624,1.04,Ideal,G,IF,62.1,54.0,8921,6.53,6.55,4.06
41020,0.25,Premium,G,SI2,59.0,60.0,1186,5.33,5.28,3.12
33126,0.31,Very Good,G,VVS1,60.4,59.0,816,4.37,4.41,2.65
5108,0.72,Ideal,F,VS1,60.7,57.0,3759,5.79,5.87,3.54
40044,0.52,Very Good,E,SI2,60.7,56.0,1112,5.17,5.21,3.15
46323,0.59,Very Good,H,VS1,62.1,55.0,1757,5.37,5.41,3.35
48641,0.31,Premium,I,SI1,59.6,58.0,537,4.44,4.39,2.63
18923,1.77,Ideal,J,SI2,62.0,56.0,7771,7.78,7.74,4.81
40285,0.34,Ideal,I,VS2,61.5,55.0,495,4.53,4.55,2.79
18791,1.12,Very Good,G,VS1,62.2,59.0,7687,6.58,6.61,4.1
26074,1.55,Ideal,E,VS2,61.9,58.0,15293,7.39,7.45,4.59
1638,0.7,Very Good,G,VS1,60.1,60.0,3017,5.73,5.76,3.45
51480,1.05,Premium,G,I1,61.7,59.0,2378,6.58,6.47,4.02
8877,1.04,Ideal,H,SI2,62.1,56.0,4484,6.5,6.48,4.03
27745,2.29,Premium,I,SI1,61.8,59.0,18797,8.52,8.45,5.24
26680,0.28,Very Good,G,VS2,62.0,56.0,427,4.16,4.19,2.59
4265,0.9,Very Good,G,SI2,60.9,56.0,3581,6.18,6.24,3.78
45324,0.3,Very Good,F,VS2,61.4,55.0,524,4.32,4.37,2.67
1234,0.81,Very Good,F,SI2,62.7,58.0,2942,5.92,5.95,3.72
36791,0.34,Premium,E,VS2,61.0,59.0,956,4.51,4.48,2.74
17388,0.32,Premium,G,SI1,60.9,58.0,612,4.44,4.39,2.69
33889,0.3,Ideal,E,VS2,62.3,57.0,844,4.32,4.29,2.68
51719,0.7,Premium,F,SI1,62.2,59.0,2401,5.69,5.73,3.55
14999,1.15,Premium,D,SI1,61.7,58.0,6041,6.76,6.69,4.15
22537,1.51,Ideal,I,VS1,61.6,56.0,10576,7.37,7.43,4.56
48064,0.53,Ideal,E,VS1,61.5,57.0,1928,5.22,5.25,3.22
35709,0.3,Premium,D,VS2,60.7,60.0,911,4.37,4.33,2.64
34916,0.34,Premium,F,VS2,60.7,60.0,880,4.5,4.46,2.72
46829,0.58,Ideal,F,VS2,60.6,56.0,1809,5.41,5.44,3.29
45238,0.52,Very Good,H,VS1,61.7,55.0,1659,5.15,5.17,3.19
7582,1.0,Very Good,F,SI2,61.6,62.0,4255,6.3,6.37,3.9
9645,1.0,Very Good,I,VS1,63.3,55.0,4641,6.39,6.34,4.03
32873,0.38,Good,D,VS2,64.1,55.0,809,4.58,4.62,2.95
35685,0.35,Ideal,D,VVS2,61.0,57.0,910,4.54,4.58,2.78
19245,1.0,Ideal,G,VVS2,62.8,57.0,7979,6.37,6.43,4.02
27530,1.7,Ideal,G,VVS1,61.0,56.0,18279,7.62,7.67,4.66
16506,2.1,Fair,G,I1,64.6,58.0,6597,8.05,8.01,5.19
11533,1.05,Very Good,H,SI1,63.2,56.0,5027,6.51,6.47,4.1
37966,0.41,Ideal,F,VS1,60.8,57.0,1007,4.77,4.8,2.91
42233,0.53,Very Good,F,SI1,60.9,56.0,1291,5.21,5.23,3.18
50784,0.51,Ideal,G,VVS2,61.2,56.0,2303,5.16,5.17,3.16
50557,0.7,Good,I,SI1,58.5,61.0,2276,5.76,5.82,3.39
7352,1.0,Fair,E,SI1,58.1,63.0,4213,6.6,6.52,3.81
28024,0.3,Very Good,E,VS2,62.0,58.0,658,4.26,4.29,2.65
4815,0.71,Ideal,F,VS1,61.0,56.0,3701,5.77,5.8,3.53
52649,0.24,Very Good,E,VVS2,61.6,59.0,552,3.98,4.01,2.46
38922,0.33,Ideal,G,IF,61.9,54.0,1052,4.46,4.42,2.75
20144,1.43,Ideal,G,SI1,62.8,57.0,8599,7.17,7.12,4.49
7409,0.33,Premium,G,VS2,60.0,58.0,579,4.47,4.49,2.69
31513,0.34,Premium,E,SI1,59.0,60.0,765,4.62,4.56,2.71
13333,1.22,Ideal,H,SI2,61.7,56.0,5502,6.87,6.93,4.26
48886,0.7,Good,E,SI1,65.0,57.0,2038,5.53,5.58,3.61
12865,1.06,Ideal,I,VS2,61.0,57.0,5362,6.55,6.59,4.01
35500,0.41,Premium,E,SI1,61.2,59.0,904,4.82,4.78,2.94
23551,1.51,Very Good,F,SI1,63.0,61.0,11560,7.27,7.3,4.59
35706,0.3,Ideal,D,VS2,62.0,56.0,911,4.35,4.33,2.69
18836,1.13,Premium,G,VS1,61.6,58.0,7720,6.76,6.68,4.14
7435,0.8,Premium,E,VVS2,62.9,59.0,4229,5.95,5.88,3.72
