Unnamed: 0,carat,cut,color,clarity,depth,table,price,x,y,z
42121,0.5,Good,F,VS2,57.8,63.0,1279,5.2,5.15,2.99
37293,0.52,Good,I,SI1,63.6,60.0,978,5.05,5.1,3.23
47375,0.57,Premium,F,VS2,60.3,58.0,1847,5.44,5.4,3.27
5311,0.85,Premium,E,VS2,60.2,60.0,3803,6.14,6.09,3.68
9585,1.0,Very Good,D,SI2,63.2,57.0,4628,6.24,6.32,3.97
26022,0.34,Premium,F,VS2,58.1,61.0,645,4.6,4.55,2.66
25537,2.14,Ideal,G,SI2,62.9,56.0,14359,8.18,8.14,5.13
46091,0.52,Premium,E,VS1,59.2,59.0,1739,5.29,5.25,3.12
8266,0.9,Very Good,D,SI1,61.0,63.0,4381,6.1,6.13,3.73
52866,0.89,Fair,G,SI2,58.9,66.0,2579,6.26,6.16,3.66
2969,0.78,Good,D,VS2,64.0,54.0,3298,5.82,5.86,3.74
8867,0.92,Premium,E,SI1,62.1,58.0,4482,6.22,6.15,3.84
9560,1.01,Very Good,H,SI1,62.6,61.0,4622,6.36,6.39,3.99
30246,0.33,Good,F,VVS1,60.2,64.0,724,4.47,4.5,2.7
6762,0.9,Premium,E,SI1,61.1,58.0,4106,6.22,6.26,3.81
10785,1.0,Good,G,SI1,61.9,61.0,4859,6.36,6.4,3.95
49843,0.71,Premium,F,SI2,62.1,60.0,2169,5.68,5.62,3.51
27821,0.34,Premium,G,SI1,61.5,56.0,650,4.52,4.45,2.76
48644,0.31,Ideal,I,SI1,62.2,56.0,537,4.37,4.34,2.71
18534,1.51,Premium,J,VS2,62.8,59.0,7553,7.2,7.17,4.51
45876,0.51,Very Good,E,VS1,60.0,57.0,1717,5.18,5.25,3.13
19002,1.0,Premium,G,IF,61.4,59.0,7822,6.47,6.39,3.95
39070,0.52,Ideal,F,SI2,61.8,55.0,1059,5.17,5.21,3.21
24500,2.07,Ideal,J,SI2,62.5,56.0,12778,8.18,8.08,5.08
6802,0.92,Good,H,VS1,62.3,63.0,4116,6.18,6.3,3.88
18091,1.27,Very Good,I,VS2,59.2,60.0,7312,7.11,7.08,4.2
8208,0.9,Ideal,H,VS2,62.5,53.0,4369,6.17,6.22,3.87
27509,2.19,Premium,E,SI2,62.4,61.0,18232,8.31,8.23,5.16
53693,1.0,Good,F,I1,64.2,59.0,2717,6.26,6.3,4.03
35186,0.31,Ideal,G,IF,61.3,56.0,891,4.38,4.4,2.69
10043,0.26,Very Good,G,VS1,62.1,56.0,418,4.07,4.11,2.54
30442,0.32,Very Good,G,VVS2,62.6,58.0,730,4.35,4.37,2.73
30697,0.42,Premium,G,SI1,61.7,58.0,737,4.76,4.8,2.95
48006,0.52,Ideal,D,VS2,62.6,55.0,1919,5.14,5.12,3.21
52986,0.72,Ideal,I,VVS2,62.8,57.0,2594,5.69,5.74,3.59
24365,0.4,Very Good,G,SI1,58.3,62.0,636,4.81,4.86,2.82
46417,0.55,Ideal,D,VS2,61.0,56.0,1768,5.31,5.28,3.23
42931,0.32,Premium,H,VS2,60.7,58.0,505,4.43,4.46,2.7
17788,1.07,Very Good,G,VS1,62.8,58.0,7168,6.48,6.52,4.08
17152,1.71,Good,G,SI2,63.7,57.0,6847,7.54,7.5,4.79
47513,0.6,Ideal,F,VS2,62.1,57.0,1866,5.39,5.37,3.34
52489,0.73,Very Good,E,SI1,63.3,60.0,2523,5.65,5.7,3.59
7307,0.91,Premium,F,SI1,62.1,56.0,4204,6.24,6.2,3.86
50768,0.72,Ideal,F,SI2,61.2,58.0,2300,5.72,5.78,3.52
41378,0.53,Ideal,F,SI2,60.9,55.0,1220,5.26,5.29,3.21
47500,0.47,Ideal,H,IF,62.4,57.0,1865,4.97,5.0,3.11
46774,0.52,Ideal,G,VS1,61.9,55.5,1803,5.13,5.16,3.18
29102,0.34,Premium,I,VS1,61.0,60.0,689,4.51,4.48,2.74
52965,0.24,Very Good,F,IF,60.0,57.0,552,4.07,4.1,2.45
43473,0.59,Ideal,D,SI2,61.1,56.0,1419,5.4,5.44,3.31
36271,0.3,Ideal,G,SI1,62.0,53.0,477,4.33,4.38,2.7
9865,1.03,Good,G,SI1,63.2,58.0,4679,6.38,6.43,4.05
6744,0.33,Very Good,G,VS2,60.6,61.0,579,4.46,4.49,2.71
33258,0.28,Ideal,F,IF,62.0,53.0,825,4.23,4.29,2.64
53438,0.7,Premium,E,VS2,60.9,59.0,2673,5.68,5.71,3.47
49913,0.63,Ideal,F,VS2,61.2,56.0,2182,5.56,5.51,3.39
32699,0.31,Ideal,F,VS2,61.9,54.0,802,4.38,4.35,2.7
24288,1.51,Premium,E,SI1,61.5,58.0,12530,7.33,7.38,4.52
2989,0.71,Ideal,E,VS2,61.8,57.0,3301,5.69,5.74,3.53
22571,1.75,Premium,J,VS1,62.2,59.0,10619,7.74,7.7,4.8
3605,1.04,Good,J,SI2,64.2,59.0,3425,6.47,6.38,4.13
30458,0.3,Premium,E,VS2,61.7,60.0,731,4.31,4.28,2.65
17062,0.32,Premium,G,SI1,60.9,56.0,612,4.45,4.41,2.7
42892,0.51,Ideal,D,SI2,62.8,57.0,1359,5.12,5.1,3.21
35445,0.32,Ideal,E,VS2,62.3,54.0,900,4.4,4.37,2.73
36215,0.36,Ideal,G,VS1,61.6,56.0,932,4.59,4.56,2.82
49063,0.72,Premium,F,SI2,61.7,58.0,2058,5.73,5.78,3.55
31268,0.32,Ideal,I,VS2,62.5,55.0,449,4.37,4.4,2.74
39185,0.35,Ideal,D,VS2,62.0,55.0,1063,4.53,4.47,2.79
17919,1.0,Premium,H,IF,60.6,57.0,7235,6.54,6.47,3.94
29148,0.4,Ideal,I,SI1,61.2,55.0,692,4.77,4.8,2.93
879,1.0,Ideal,I,SI2,61.7,56.0,2873,6.45,6.41,3.97
22022,0.35,Ideal,I,VVS1,61.6,55.0,628,4.55,4.58,2.81
51220,0.5,Ideal,H,IF,61.8,56.0,2352,5.1,5.13,3.16
37618,0.24,Very Good,E,VVS1,60.7,60.0,485,4.01,4.06,2.45
4237,1.15,Premium,G,I1,61.2,58.0,3574,6.8,6.74,4.14
37055,0.33,Ideal,G,IF,61.7,58.0,968,4.42,4.46,2.74
13510,1.01,Very Good,D,SI1,63.1,60.0,5543,6.39,6.32,4.01
48063,0.55,Ideal,D,VS2,61.8,54.0,1928,5.26,5.29,3.26
15262,1.06,Ideal,G,VS2,61.8,57.0,6128,6.52,6.56,4.04
32377,0.43,Ideal,G,SI1,61.5,57.0,790,4.84,4.87,2.98
40418,0.5,Ideal,J,VS1,61.4,58.0,1134,5.14,5.09,3.15
27657,1.49,Ideal,F,VVS2,61.1,58.0,18614,7.36,7.38,4.5
44712,0.51,Premium,E,VS2,60.6,60.0,1614,5.2,5.19,3.15
27539,2.01,Premium,H,SI1,61.4,56.0,18295,8.19,8.13,5.01
26552,2.05,Premium,H,VS2,60.7,61.0,16235,8.25,8.13,4.97
43655,0.51,Ideal,H,SI2,62.0,55.0,1435,5.12,5.14,3.18
21950,1.04,Ideal,E,VVS2,62.9,55.0,10019,6.47,6.51,4.08
28306,0.3,Very Good,H,SI1,60.9,59.0,432,4.29,4.31,2.62
43496,0.54,Good,G,VS2,63.2,55.0,1422,5.15,5.2,3.27
44575,0.53,Ideal,E,VS2,62.5,57.0,1607,5.16,5.18,3.23
8919,1.07,Fair,E,SI2,62.2,66.0,4496,6.57,6.48,4.06
15952,1.14,Fair,G,VS1,57.5,67.0,6381,0.0,0.0,0.0
3832,1.0,Ideal,I,SI1,58.5,55.0,3472,6.47,6.42,3.77
34204,0.33,Premium,F,VS2,61.9,57.0,854,4.44,4.42,2.74
33171,0.37,Premium,G,VS1,58.4,59.0,817,4.76,4.69,2.76
26747,2.0,Premium,I,VS2,60.7,60.0,16544,8.02,8.07,4.88
8163,0.7,Very Good,D,VVS1,63.4,59.0,4362,5.63,5.64,3.57
35143,0.37,Good,E,VS1,62.8,65.0,889,4.51,4.54,2.84
7700,1.01,Fair,F,SI1,67.2,60.0,4276,6.06,6.0,4.05
42910,0.55,Premium,H,VS2,62.1,58.0,1363,5.24,5.29,3.27
